,CIF filename,fitness
418,bepniv_P1_H,4.773582935333252
419,bepnob_P1_H,4.775157928466797
420,bepnuh_P1,4.798685550689697
421,beppap_P1,4.797027111053467
422,beppix_P1,4.804579257965088
423,beppod_P1_H,
424,bepvav_P1,4.8156328201293945
425,bepvez_P1,4.815888404846191
426,bepvid_P1,4.812861919403076
427,bepvoj_P1,4.803402900695801
428,bepvoj01_P1,4.807804107666016
429,bepyig_P1_H,
430,beqfek_P1,4.819183826446533
431,beqhud_P1,
432,beqjal_P1,
433,beqjoz_P1_charged,
434,beqjuf_P1_charged,
435,beqkam_P1_H,4.76931095123291
436,bergai_P1,4.797000885009766
437,bergai01_P1,4.787693500518799
438,betdel_P1,4.816075325012207
439,betdip_P1,4.814970970153809
440,betdub_P1,4.813611030578613
441,betfen_P1,4.821350574493408
442,betfud_P1,4.816518783569336
443,betgak_P1,4.812383651733398
444,bethit_P1_charged,
445,betyad_P1,
446,betyeh_P1,4.781131744384766
447,betzor_P1_H,4.793647766113281
448,bewsoo_P1,
449,bewveg_P1_charged,4.827685356140137
450,bewvoq_P1_charged_H,4.832291126251221
451,bewweh_P1,4.830691814422607
452,bexmid_P1,4.797196388244629
453,bexrut_P1,
454,bexsee_P1,
455,bexsii_P1,
456,bextop_P1,4.777721881866455
457,beysef_P1,4.84769344329834
458,bezduh_P1,
459,bibbul_P1,4.800145626068115
460,bibqov_P1,4.828449249267578
461,bibxob_P1,
462,bibxuh_P1,
463,bicpua_P1,
464,bidmae_P1_charged,4.82079553604126
465,bidpah_P1_charged,
466,bifkei_P1,4.850578308105469
467,bifnow_P1_charged_H,
468,bifpak_P1_charged_H,4.755212306976318
469,bifpoy_P1_charged_H,
470,bifsob_P1_charged,4.800031661987305
471,bigwog_P1,
472,bihbax_P1_charged,
473,bihqam_P1,
474,bihrui_P1,
475,bihvum_P1_H,
476,bijduv_P1_H,
477,bijzec_P1_charged,
478,bijzig_P1,4.862630367279053
479,bikmeq_P1_H,
480,bikmeq01_P1_H,
481,bikmoa_P1,
482,bikmug_P1,
483,bikner_P1,
484,biknob_P1_H,
485,bilria_P1,4.7441911697387695
486,bimdef_P1,
487,bimpev_P1,4.783761024475098
488,binroh_P1,4.8183722496032715
489,binrun_P1,4.791101932525635
490,binsau_P1,4.796905994415283
491,biplaq_P1_H,
492,biplix_P1_H,4.777835369110107
493,bipnas_P1_H,4.807959079742432
494,bipsuq_P1,4.846530437469482
495,bipxik_P1,4.776701927185059
496,bipxoq_P1,4.805428504943848
497,biqheq_P1,
498,biqhiu_P1,
499,biqvii_P1,
500,birbiq_P1_charged,4.812480449676514
501,birbow_P1_charged,4.811908721923828
502,birbuc_P1_charged,4.81755256652832
503,bircaj_P1_charged,4.805100440979004
504,birmum_P1,4.844825267791748
505,birnat_P1,4.787160396575928
506,birsec_P1,
507,birsig_P1,
508,birsus_P1_H,4.807600975036621
509,bisruq_P1,4.763493061065674
510,bivxek_P1,
511,biwdet_P1,4.790783882141113
512,biwsae_P1,4.886101722717285
513,biwwow_P1,4.816064357757568
514,bixviq_P1,
515,biytej_P1,4.850645065307617
516,biyvir_P1,4.802667617797852
517,biyvox_P1,4.797928333282471
518,bizhok_P1,
519,bizhuq_P1,
520,biztai_P1,
521,bobdii_P1,
522,bobhuy_P1,
523,bobjag_P1,4.795295715332031
524,bobriw_P1,4.785608768463135
525,bobtiw_P1,4.808419227600098
526,bobtoc_P1,4.829939365386963
527,bobtui_P1,4.805965900421143
528,bobzie_P1,
529,bocfil_P1_charged,
530,bodcuv04_P1,
531,bodcuv05_P1,
532,bodcuv08_P1,
533,bodcuv09_P1,
534,bofbii_P1_charged,
535,bofceg_P1,4.781094551086426
536,bofguz_P1,4.799957275390625
537,boftic_P1,4.820024490356445
538,bognes_P1_H,
539,bogxif_P1,4.808481693267822
540,bogxif02_P1,4.817895412445068
541,bogxol_P1,4.808741092681885
542,bohjak_P1_H,4.871424674987793
543,bokqez_P1,
544,bolzou_P1,
545,bombaj_P1,4.801088809967041
546,bomcox_P1,4.7646942138671875
547,bomcub_P1_charged,
548,bomvux_P1_charged,
549,bomwae_P1,
550,bomwuy_P1,4.793762683868408
551,bomxaf_P1,4.80109977722168
552,boncep_P1,4.786971092224121
553,bonmat_P1_H,
554,bonmex_P1_H,
555,bophiz_P1_charged,4.833285331726074
556,boppuu_P1_charged,
557,boqlur_P1,
558,boqvot_P1,4.729007244110107
559,borkif_P1,4.802400588989258
560,borkol_P1,4.783316612243652
561,borkur_P1,4.7817769050598145
562,borlec_P1,
563,borlig_P1,
564,borlom_P1,
565,borlus_P1,
566,bormon_P1,4.788421154022217
567,boscaq_P1,4.816290855407715
568,botceu_P1,4.794714450836182
569,bovheb_P1_H,4.786301612854004
570,bowdic_P1_H,4.763985633850098
571,bowdoi_P1_H,
572,bownej_P1_charged,4.724005222320557
573,bowqag_P1,4.807121753692627
574,bowsiq_P1,4.760151386260986
575,bowzuk_P1_charged,4.779228210449219
576,boxfaw_P1_charged_H,
577,boxfea_P1_charged_H,
578,boxfie_P1_charged,
579,boxfok_P1_charged_H,
580,boxpow_P1,
581,boxrak_P1,4.788614273071289
582,boxyiy_P1_charged,4.874412536621094
583,boyjil_P1,
584,boyteq_P1,
585,boyzat_P1,
586,bozfaz_P1,4.7972822189331055
587,bozfih_P1,4.788413047790527
588,bozfon_P1,4.802282333374023
589,bubjuf_P1,4.858161926269531
590,bubpia_P1,4.764796733856201
591,bubpog_P1,4.741401672363281
592,bubpum_P1,4.773592948913574
593,bubvec_P1,4.798907279968262
594,bubvig_P1,4.79960298538208
595,bubvur_P1,4.8230719566345215
596,bucvec_P1,4.774829864501953
597,bucvig_P1,4.791470527648926
598,buddio_P1,4.793827056884766
599,budwuv_P1,4.783227920532227
600,bufnew_P1_charged_H,
601,bufnog_P1_charged_H,
602,bufnum_P1_charged_H,
603,bufnum01_P1_charged_H,
604,bufnum02_P1_charged_H,
605,bufpau01_P1_charged_H,
606,bugsay_P1,4.801040172576904
607,bugsec_P1,4.7846879959106445
608,bugsig_P1,4.782332897186279
609,bugsom_P1,4.803383827209473
610,bujlok_P1,4.788224220275879
611,bujmax_P1_charged,
612,bujmeb_P1_charged,
613,bukmuq_P1,4.806028366088867
614,bukmuq01_P1,4.795997142791748
615,bukruw_P1,4.811131954193115
616,bukruw01_P1_H,4.848575115203857
617,bukruw02_P1,4.821855545043945
618,bukruw03_P1,4.8205461502075195
619,buksad_P1,4.8128662109375
620,buksil_P1,4.801406383514404
621,buktae_P1,4.835317611694336
622,buktei_P1,4.837673664093018
623,buktim_P1,4.839676856994629
624,buktos_P1,4.825031280517578
625,bukwow_P1,4.723682880401611
626,bukwuc_P1,4.719764709472656
627,bukxox_P1,4.724515438079834
628,bukxud_P1,4.7314772605896
629,bukyaj_P1,4.8114824295043945
630,bukyak_P1,4.738586902618408
631,bukyeo_P1,
632,bukyis_P1,
633,bukyoy_P1,4.732537269592285
634,bukyue_P1,4.730220317840576
635,bukzal_P1,4.73141622543335
636,bunlaz_P1_H,
637,bunmop_P1_charged,
638,bunmuu_P1,4.8161444664001465
639,bupdum_P1_charged,
640,bupfau_P1_charged,
641,bupfey_P1_charged,
642,bupgid_P1,
643,bupgup_P1_charged,4.762950897216797
644,bupkaz_P1_H,4.804084777832031
645,bupsud_P1,
646,bupvep_P1_H,
647,bupvit_P1_H,
648,buqrox_P1,4.7328948974609375
649,buqrud_P1,4.730311870574951
650,buqsak_P1,4.740734100341797
651,buqseo_P1,4.754129886627197
652,buqsis_P1,4.7532734870910645
653,buqsue_P1,4.755530834197998
654,burjoo_P1,
655,busgig_P1,4.787085056304932
656,busgom_P1,4.761725902557373
657,busjor_P1,4.7513532638549805
658,busmuy_P1,
659,busnaf_P1,
660,busqem_P1,
661,busqiq_P1_H,
662,busqow_P1,4.8199639320373535
663,busquc_P1,4.839089393615723
664,busrue_P1,4.787141799926758
665,butpir_P1,4.834605693817139
666,buvfac_P1_charged,
667,buvnir_P1,4.755906105041504
668,buvwof02_P1,4.784452438354492
669,buvwof03_P1,
670,buvxog_P1,
671,buvxog01_P1,
672,buvyex_P1,
673,buvyib_P1,
674,buvyib01_P1,
675,buwgac_P1,4.778324127197266
676,buwgac01_P1,4.772155284881592
677,buwgac02_P1,4.7718424797058105
678,buwgac03_P1,4.775020599365234
679,buwgac04_P1,4.770411968231201
680,buwgac05_P1,4.773352146148682
681,buwgac06_P1,4.770651817321777
682,buwgac07_P1,4.773748874664307
683,buwgac08_P1,4.76825475692749
684,buwgac09_P1,4.7736077308654785
685,buwgac10_P1,4.772706508636475
686,buwgac11_P1,4.77242374420166
687,buwgac12_P1,4.768251895904541
